DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,1,2021,2524644,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,1,2022,2468202,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,1,2023,2517539,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,2,2019,2581873,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,2,2020,2607959,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,2,2021,2647250,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,2,2022,2562514,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,2,2023,2623802,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,9,2019,4996158,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,9,2020,5039637,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,9,2021,5171894,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,9,2022,5030716,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FJAN,9,2023,5141341,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,1,2019,32250,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,1,2020,30768,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,1,2021,29041,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,1,2022,27337,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,1,2023,26449,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,2,2019,30668,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,2,2020,29024,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,2,2021,27885,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,2,2022,25742,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,2,2023,24998,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,9,2019,62918,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,9,2020,59792,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,9,2021,56926,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,9,2022,53079,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FLBIRTH,9,2023,51447,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,1,2019,28313,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,1,2020,25864,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,1,2021,23798,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,1,2022,22144,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,1,2023,20701,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,2,2019,27174,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,2,2020,24720,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,2,2021,23128,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,2,2022,21066,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,2,2023,20003,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,9,2019,55487,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,9,2020,50584,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,9,2021,46926,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,9,2022,43210,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNATGR,9,2023,40704,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNETMIG,1,2020,79997,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNETMIG,1,2021,94779,,,,,,,,
IT1:29_316_DF_DCIS_POPSTRBIL1_1(1.0),A,IT,FNETMIG,2,2020,72835,,,,,,,,
