"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITG12","Palermo","INFLNONEU","annual inflows of non-EU citizens","9","total","RU","Russia","ALL1","international protection","2020","2020",1,,
"ITG12","Palermo","INFLNONEU","annual inflows of non-EU citizens","9","total","RU","Russia","ALL1","international protection","2022","2022",6,,
"ITG12","Palermo","INFLNONEU","annual inflows of non-EU citizens","9","total","RU","Russia","ALL1","international protection","2023","2023",6,,
"ITD52","Parma","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2019","2019",4,,
"ITD52","Parma","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2020","2020",2,,
"ITD52","Parma","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2022","2022",868,,
"ITD52","Parma","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2023","2023",115,,
"ITE22","Terni","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",2,,
"ITE22","Terni","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2022","2022",914,,
"ITE22","Terni","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2023","2023",134,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2019","2019",1,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2021","2021",2,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2022","2022",4,,
"ITE41","Viterbo","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2023","2023",9,,
"ITF45","Lecce","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2021","2021",2,,
"ITF45","Lecce","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2022","2022",395,,
"ITF45","Lecce","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2023","2023",23,,
"ITF33","Napoli","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2019","2019",12,,
"ITF33","Napoli","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2020","2020",1,,
"ITF33","Napoli","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2021","2021",6,,
"ITF33","Napoli","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2022","2022",31,,
"ITF33","Napoli","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2023","2023",158,,
"ITF41","Foggia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",8,,
"ITF41","Foggia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2020","2020",1,,
"ITF41","Foggia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2021","2021",2,,
"ITF41","Foggia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2022","2022",1456,,
"ITF41","Foggia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2023","2023",218,,
"ITD3","Veneto","INFLNONEU","annual inflows of non-EU citizens","2","females","EG","Egypt","ALL1","international protection","2020","2020",2,,
"ITD3","Veneto","INFLNONEU","annual inflows of non-EU citizens","2","females","EG","Egypt","ALL1","international protection","2022","2022",1,,
"ITD3","Veneto","INFLNONEU","annual inflows of non-EU citizens","2","females","EG","Egypt","ALL1","international protection","2023","2023",3,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2020","2020",1,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2022","2022",185,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2023","2023",19,,
"ITD44","Trieste","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2019","2019",2,,
"ITD44","Trieste","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2020","2020",2,,
"ITD44","Trieste","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2021","2021",5,,
"ITD44","Trieste","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2022","2022",8,,
"ITD44","Trieste","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2023","2023",78,,
"ITF1","Abruzzo","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",23,,
"ITF1","Abruzzo","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2020","2020",1,,
"ITF1","Abruzzo","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2021","2021",5,,
"ITF1","Abruzzo","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2022","2022",5760,,
"ITF1","Abruzzo","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2023","2023",992,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2021","2021",1,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2022","2022",428,,
"ITD58","Forlì-Cesena","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2023","2023",47,,
"ITD37","Rovigo","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2019","2019",1,,
"ITD37","Rovigo","INFLNONEU","annual inflows of non-EU citizens","1","males","AL","Albania","ALL1","international protection","2022","2022",1,,
"ITF64","Vibo Valentia","INFLNONEU","annual inflows of non-EU citizens","9","total","NG","Nigeria","ALL1","international protection","2019","2019",5,,
"ITF64","Vibo Valentia","INFLNONEU","annual inflows of non-EU citizens","9","total","NG","Nigeria","ALL1","international protection","2020","2020",1,,
"ITF64","Vibo Valentia","INFLNONEU","annual inflows of non-EU citizens","9","total","NG","Nigeria","ALL1","international protection","2021","2021",11,,
"ITF64","Vibo Valentia","INFLNONEU","annual inflows of non-EU citizens","9","total","NG","Nigeria","ALL1","international protection","2022","2022",11,,
"ITF64","Vibo Valentia","INFLNONEU","annual inflows of non-EU citizens","9","total","NG","Nigeria","ALL1","international protection","2023","2023",5,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","9","total","LK","Sri Lanka","ALL1","international protection","2019","2019",1,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","9","total","LK","Sri Lanka","ALL1","international protection","2020","2020",1,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","9","total","LK","Sri Lanka","ALL1","international protection","2022","2022",2,,
"ITF43","Taranto","INFLNONEU","annual inflows of non-EU citizens","9","total","LK","Sri Lanka","ALL1","international protection","2023","2023",4,,
"ITF61","Cosenza","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2019","2019",11,,
"ITF61","Cosenza","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2020","2020",2,,
"ITF61","Cosenza","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2021","2021",6,,
"ITF61","Cosenza","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2022","2022",1263,,
"ITF61","Cosenza","INFLNONEU","annual inflows of non-EU citizens","2","females","UA","Ukraine","ALL1","international protection","2023","2023",455,,
"ITF51","Potenza","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2019","2019",59,,
"ITF51","Potenza","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2020","2020",68,,
"ITF51","Potenza","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2021","2021",29,,
"ITF51","Potenza","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2022","2022",78,,
"ITF51","Potenza","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2023","2023",72,,
"ITD35","Venezia","INFLNONEU","annual inflows of non-EU citizens","2","females","EG","Egypt","ALL1","international protection","2022","2022",1,,
"ITE22","Terni","INFLNONEU","annual inflows of non-EU citizens","9","total","AL","Albania","ALL1","international protection","2019","2019",1,,
"ITE22","Terni","INFLNONEU","annual inflows of non-EU citizens","9","total","AL","Albania","ALL1","international protection","2023","2023",2,,
"ITD3","Veneto","INFLNONEU","annual inflows of non-EU citizens","1","males","RU","Russia","ALL1","international protection","2019","2019",3,,
"ITD3","Veneto","INFLNONEU","annual inflows of non-EU citizens","1","males","RU","Russia","ALL1","international protection","2022","2022",24,,
"ITD3","Veneto","INFLNONEU","annual inflows of non-EU citizens","1","males","RU","Russia","ALL1","international protection","2023","2023",20,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","2","females","GH","Ghana","ALL1","international protection","2019","2019",1,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","2","females","GH","Ghana","ALL1","international protection","2020","2020",2,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","2","females","GH","Ghana","ALL1","international protection","2021","2021",2,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","2","females","GH","Ghana","ALL1","international protection","2022","2022",1,,
"ITC41","Varese","INFLNONEU","annual inflows of non-EU citizens","2","females","GH","Ghana","ALL1","international protection","2023","2023",1,,
"ITF13","Pescara","INFLNONEU","annual inflows of non-EU citizens","2","females","TN","Tunisia","ALL1","international protection","2022","2022",1,,
"ITF6","Calabria","INFLNONEU","annual inflows of non-EU citizens","9","total","MD","Moldova","ALL1","international protection","2019","2019",2,,
"ITF6","Calabria","INFLNONEU","annual inflows of non-EU citizens","9","total","MD","Moldova","ALL1","international protection","2021","2021",1,,
"ITF6","Calabria","INFLNONEU","annual inflows of non-EU citizens","9","total","MD","Moldova","ALL1","international protection","2022","2022",7,,
"ITF6","Calabria","INFLNONEU","annual inflows of non-EU citizens","9","total","MD","Moldova","ALL1","international protection","2023","2023",12,,
"ITC42","Como","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",25,,
"ITC42","Como","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2020","2020",1,,
"ITC42","Como","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2021","2021",9,,
"ITC42","Como","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2022","2022",1886,,
"ITC42","Como","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2023","2023",232,,
"ITE18","Arezzo","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2019","2019",1,,
"ITE18","Arezzo","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2020","2020",1,,
"ITE18","Arezzo","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2023","2023",1,,
