"ITTER107","Territory","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",1067.216,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",378.432,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",377.817,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",374.86,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",381.748,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",379.304,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",350.887,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",331.886,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",371.044,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",346.123,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",354.495,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",384.576,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",394.691,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",391.382,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",371.885,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",392.253,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",391.08,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",383.086,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",385.743,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",399.807,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",394.709,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",398.506,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",363.234,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",365.61,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",415.466,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",421.219,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",408.859,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",428.664,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",412.19,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",247.64,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",249.675,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",257.668,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",250.641,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",232.576,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",242.383,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",236.654,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",245.808,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",244.591,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",242.48,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",254.639,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",269.418,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",253.177,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",231.844,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",256.38,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",257.61,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",272.721,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",258.506,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",276.563,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",284.261,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",258.341,,
