"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","POSIZPROF","Professional status","CARATT_OCC","Temporary employees","TIME","Select time","Value","Flag Codes","Flags"
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q1","Q1-2020",82.487,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q3","Q3-2020",69.311,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q4","Q4-2020",74.308,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021","2021",64.668,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022","2022",72.174,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023","2023",80.701,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q1","Q1-2021",60.512,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q2","Q2-2021",48.978,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q3","Q3-2021",70.137,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q4","Q4-2021",79.043,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q1","Q1-2022",73.485,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q2","Q2-2022",69.764,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q3","Q3-2022",72.288,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q4","Q4-2022",73.161,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q1","Q1-2023",76.813,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q2","Q2-2023",80.926,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q3","Q3-2023",87.801,,
"ITE","Centro (I)","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q4","Q4-2023",77.262,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019","2019",67.556,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q1","Q1-2019",60.632,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q2","Q2-2019",62.473,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q4","Q4-2019",77.865,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q3","Q3-2019",69.254,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020","2020",63.524,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q2","Q2-2020",58.883,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q1","Q1-2020",60.268,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q3","Q3-2020",73.477,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q4","Q4-2020",61.468,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021","2021",62.746,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022","2022",67.652,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023","2023",70.508,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q1","Q1-2021",48.648,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q2","Q2-2021",65.081,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q3","Q3-2021",77.042,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q4","Q4-2021",60.213,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q1","Q1-2022",58.373,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q2","Q2-2022",72.028,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q3","Q3-2022",68.677,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q4","Q4-2022",71.532,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q1","Q1-2023",67.873,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q2","Q2-2023",71.03,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q3","Q3-2023",68.681,,
"ITFG","Mezzogiorno","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q4","Q4-2023",74.449,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2019","2019",1612.258,,
